"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Paya Lebar",2018,1,1,33.2,NA,NA,NA,25.2,"27.3","23.8",7.2,"27.7"
"Paya Lebar",2018,1,2,10.2,NA,NA,NA,25.8,"28.4","24.1",8.6,"25.9"
"Paya Lebar",2018,1,3,62.2,NA,NA,NA,26.8,"32.1","24.5",7.6,"31.3"
"Paya Lebar",2018,1,4,0.3,NA,NA,NA,26.9,"29.5","25",9.4,"33.5"
"Paya Lebar",2018,1,5,1.5,NA,NA,NA,26.8,"30","24.3",9,"24.1"
"Paya Lebar",2018,1,6,0,NA,NA,NA,27.8,"31.2","24.6",9.7,"22.3"
"Paya Lebar",2018,1,7,18.9,NA,NA,NA,27.4,"31.5","24.6",10.4,"33.5"
"Paya Lebar",2018,1,8,131.8,NA,NA,NA,27.4,"32.5","23.3",9.4,"29.5"
"Paya Lebar",2018,1,9,0,NA,NA,NA,28,"33.2","25.8",13.7,"40.7"
"Paya Lebar",2018,1,10,26.5,NA,NA,NA,25.3,"27.3","22.9",11.2,"31.3"
"Paya Lebar",2018,1,11,12.2,NA,NA,NA,24,"26.1","22",15.1,"40.7"
"Paya Lebar",2018,1,12,9,NA,NA,NA,23.1,"24.1","22.2",16.2,"37.1"
"Paya Lebar",2018,1,13,25.8,NA,NA,NA,23.2,"23.9","21.4",13.7,"37.1"
"Paya Lebar",2018,1,14,6.9,NA,NA,NA,23.8,"26","21.6",16.6,"44.3"
"Paya Lebar",2018,1,15,0.9,NA,NA,NA,25.6,"28.5","23",16.2,"42.5"
"Paya Lebar",2018,1,16,0,NA,NA,NA,27.1,"30.8","24",15.5,"37.1"
"Paya Lebar",2018,1,17,0,NA,NA,NA,28,"32.7","24.5",21.2,"42.5"
"Paya Lebar",2018,1,18,1.3,NA,NA,NA,27.9,"32","24.3",20.5,"42.5"
"Paya Lebar",2018,1,19,6.8,NA,NA,NA,27.4,"33","24.6",13.3,"37.1"
"Paya Lebar",2018,1,20,24.4,NA,NA,NA,27,"32.5","24.7",10.4,"38.9"
"Paya Lebar",2018,1,21,2.6,NA,NA,NA,28.6,"34.6","24.7",12.6,"27.7"
"Paya Lebar",2018,1,22,0,NA,NA,NA,28.7,"33.5","25.1",13.3,"40.7"
"Paya Lebar",2018,1,23,11.5,NA,NA,NA,27.7,"30.9","25.1",11.9,"40.7"
"Paya Lebar",2018,1,24,4.9,NA,NA,NA,27.8,"32.4","24.4",10.8,"44.3"
"Paya Lebar",2018,1,25,1.8,NA,NA,NA,27.4,"31.6","24.7",12.6,"29.5"
"Paya Lebar",2018,1,26,9.5,NA,NA,NA,27.1,"30.8","25",11.9,"33.5"
"Paya Lebar",2018,1,27,1.1,NA,NA,NA,28,"33.2","25",13.3,"33.5"
"Paya Lebar",2018,1,28,25.6,NA,NA,NA,27,"32.5","23.9",12.2,"42.5"
"Paya Lebar",2018,1,29,0,NA,NA,NA,28.7,"33.7","25.1",14.4,"33.5"
"Paya Lebar",2018,1,30,18.3,NA,NA,NA,27.9,"33.4","24.1",15.1,"44.3"
"Paya Lebar",2018,1,31,58.2,NA,NA,NA,27.7,"34.1","22.5",16.2,"55.4"
"Macritchie Reservoir",2018,1,1,55.2,20.2,23.4,30.6,NA,NA,NA,NA,NA
"Macritchie Reservoir",2018,1,2,6.2,2.6,4.2,5.8,NA,NA,NA,NA,NA
"Macritchie Reservoir",2018,1,3,11.6,6.6,11.2,11.4,NA,NA,NA,NA,NA
"Macritchie Reservoir",2018,1,4,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA
"Macritchie Reservoir",2018,1,5,13.4,10.2,12.2,13.4,NA,NA,NA,NA,NA
"Macritchie Reservoir",2018,1,6,0,0,0,0,NA,NA,NA,NA,NA
"Macritchie Reservoir",2018,1,7,2.4,2.2,2.2,2.4,NA,NA,NA,NA,NA
"Macritchie Reservoir",2018,1,8,72.8,22.4,29.8,49.6,NA,NA,NA,NA,NA
"Macritchie Reservoir",2018,1,9,21,19.4,19.6,20.2,NA,NA,NA,NA,NA
