"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Paya Lebar",2020,1,1,"0",NA,NA,NA,"28.7","32.3","26.3","20.2","46.4"
"Paya Lebar",2020,1,2,"0.2",NA,NA,NA,"28.5","31.2","26.4","17.3","42.5"
"Paya Lebar",2020,1,3,"0",NA,NA,NA,"28.6","32.2","26","18","46.4"
"Paya Lebar",2020,1,4,"0.8",NA,NA,NA,"28","31.6","25.4","19.1","48.2"
"Paya Lebar",2020,1,5,"0",NA,NA,NA,"28.7","33.2","25.5","20.2","38.9"
"Paya Lebar",2020,1,6,"31.2",NA,NA,NA,"27.3","32.6","24","14.8","46.4"
"Paya Lebar",2020,1,7,"1.8",NA,NA,NA,"26.9","30.8","24.3","15.8","44.3"
"Paya Lebar",2020,1,8,"0",NA,NA,NA,"28.6","32.4","26","19.4","46.4"
"Paya Lebar",2020,1,9,"0",NA,NA,NA,"28.6","32.4","26.1","19.1","42.5"
"Paya Lebar",2020,1,10,"1.1",NA,NA,NA,"27.9","32","24.8","11.9","48.2"
"Paya Lebar",2020,1,11,"0",NA,NA,NA,"28.4","31.8","25.4","11.9","25.9"
"Paya Lebar",2020,1,12,"0.7",NA,NA,NA,"28.2","33.5","25","10.4","29.5"
"Paya Lebar",2020,1,13,"0",NA,NA,NA,"28.1","33.4","25","16.9","38.9"
"Paya Lebar",2020,1,14,"0",NA,NA,NA,"28.2","32.6","25.4","17.6","37.1"
"Paya Lebar",2020,1,15,"0",NA,NA,NA,"28.3","32.3","26.2","16.9","33.5"
"Paya Lebar",2020,1,16,"0",NA,NA,NA,"28.7","32.5","25.3","16.2","33.5"
"Paya Lebar",2020,1,17,"0",NA,NA,NA,"28.8","33.6","25.8","17.3","37.1"
"Paya Lebar",2020,1,18,"0",NA,NA,NA,"28.7","33","25.2","15.8","35.3"
"Paya Lebar",2020,1,19,"0",NA,NA,NA,"28.7","33.3","25.2","15.8","35.3"
"Paya Lebar",2020,1,20,"0",NA,NA,NA,"28.7","32.8","24.4","16.6","35.3"
"Paya Lebar",2020,1,21,"42",NA,NA,NA,"26.6","28","24.6","14.4","40.7"
"Paya Lebar",2020,1,22,"0",NA,NA,NA,"28.6","32.4","26","18.4","38.9"
"Paya Lebar",2020,1,23,"0",NA,NA,NA,"28.7","33.1","25.5","17.6","40.7"
"Paya Lebar",2020,1,24,"0",NA,NA,NA,"28.3","32.5","24.8","18.7","42.5"
