"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Paya Lebar",2021,1,1,116,19.6,38.8,52.8,24.5,26.8,21.7,12.3,48.2
"Paya Lebar",2021,1,2,169.2,20.6,29.8,58.2,23.2,24.5,21.6,8.9,38.9
"Paya Lebar",2021,1,3,3.6,0.8,1.2,1.8,24.2,25.5,23.1,4.9,16.7
"Paya Lebar",2021,1,4,0.2,0.2,0.2,0.2,25.7,28.5,23.1,5.7,18.5
"Paya Lebar",2021,1,5,0,0,0,0,27.5,33.2,23.4,11.5,35.2
"Paya Lebar",2021,1,6,0,0,0,0,27.7,30.7,24.1,12.2,37
"Paya Lebar",2021,1,7,2.6,0.8,1,1,25.1,25.7,24.1,9,24.1
"Paya Lebar",2021,1,8,20.6,8.2,12.4,12.8,25.7,28,24.1,11,42.6
"Paya Lebar",2021,1,9,12,4,4.6,4.8,25.9,29.8,23.7,11.7,38.9
"Paya Lebar",2021,1,10,135,16.8,29,38.4,24,24.6,23.4,12.3,27.8
"Paya Lebar",2021,1,11,3,1,1.2,3.2,25.9,29.4,24.1,19.1,48.2
"Paya Lebar",2021,1,12,24,10.2,11,11,25.5,29.6,23.7,19.6,48.2
"Paya Lebar",2021,1,13,2.4,0.8,0.8,1.2,25.6,27.8,23.7,14.5,48.2
"Paya Lebar",2021,1,14,0,0,0,0,26.5,30.2,23.7,15,37
"Paya Lebar",2021,1,15,0,0,0,0,27.5,32.2,24.4,13.4,33.3
"Paya Lebar",2021,1,16,0,0,0,0,27.4,31.9,24.9,13,25.9
"Paya Lebar",2021,1,17,0,0,0,0,27.7,32,25,21.1,44.4
"Paya Lebar",2021,1,18,0,0,0,0,26.8,29.5,24.6,24.4,53.7
"Paya Lebar",2021,1,19,0,0,0,0,26.8,30.7,24.3,18.4,37
"Paya Lebar",2021,1,20,0,0,0,0,26.8,30.4,24.1,15.3,35.2
"Paya Lebar",2021,1,21,10.8,5.8,9,10.6,26.8,32.1,23.5,12.1,31.5
"Paya Lebar",2021,1,22,18.6,18,18.6,18.6,26.3,31.3,24.2,7,24.1
"Paya Lebar",2021,1,23,46.2,27.8,42.4,45.8,26.1,31.5,22.1,9.3,38.9
"Paya Lebar",2021,1,24,0,0,0,0,27.1,31.8,23.7,12.5,33.3
"Paya Lebar",2021,1,25,5.2,3.6,3.6,4.4,27.5,32.7,24.8,12.6,29.6
"Paya Lebar",2021,1,26,0,0,0,0,NA,32.7,24.8,NA,31.5
"Paya Lebar",2021,1,27,0,0,0,0,27.5,31.4,24.9,12.7,27.8
"Paya Lebar",2021,1,28,29.2,20.6,21.4,26.2,26.3,31,23.1,12.4,50
"Paya Lebar",2021,1,29,0,0,0,0,27.3,32,24.3,18,40.7
"Paya Lebar",2021,1,30,0,0,0,0,27.3,31.7,24.3,17.8,44.4
"Paya Lebar",2021,1,31,0.6,0.4,0.4,0.4,26.8,30.9,24.2,15.9,37
"Macritchie Reservoir",2021,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
